# Richness,Mass_Mpc,MassError_Mpc
3.265559208657256818e+01,5.720611467863538281e+13,2.782750783640390625e+13
3.503667823637338330e+01,1.948144576342524062e+14,9.006661329124782812e+13
3.054047831132603008e+01,1.262520546707302969e+14,6.457178301933643750e+13
6.092049305429863182e+01,3.854679210291367500e+14,1.277365325601224531e+14
3.300386956870057276e+01,2.266877098093330938e+14,1.094152396873817031e+14
2.766086736174881722e+01,1.710379968238363125e+14,9.449761006743898438e+13
4.947708061531042034e+01,2.530170169864958750e+14,9.371852849536406250e+13
4.522935211781170750e+01,1.177539847928353906e+14,4.599918475742476562e+13
3.573146081509216287e+01,2.331113106873879375e+14,1.062893557063137500e+14
6.881448145642595193e+01,5.185081436878857500e+14,1.621995969169299375e+14
2.629082084620434756e+01,1.489118430488559375e+14,8.571420244884750000e+13
5.002053105311599523e+01,3.494499954755139375e+14,1.286300973469645312e+14
3.742967449867990126e+01,2.584510096557176562e+14,1.141129914540417812e+14
1.428061797062782716e+02,6.986683924816867500e+14,1.713799352274580938e+14
2.956241134827323691e+01,1.029077023202952188e+14,5.396321081350920312e+13
2.526374120388361533e+01,1.306467102783101250e+14,7.770697425365106250e+13
3.223843183173048033e+01,6.880279081198533594e+13,3.378791663551841406e+13
3.147303374917519037e+01,1.450315533579348750e+14,7.250981493589650000e+13
4.123153982239012549e+01,1.537673933830630312e+14,6.366229880162382812e+13
3.103471602982675748e+01,2.224679681989075625e+14,1.124050072618720312e+14
2.745112715554348881e+01,2.033492103590910000e+14,1.130346253208098281e+14
5.447103268178793201e+01,1.883530488596441250e+14,6.613164190200035938e+13
2.695164022576187790e+01,5.580427189060730469e+13,3.148072541758233594e+13
5.112172459562511762e+01,3.404166890414103750e+14,1.237684341126735156e+14
3.105419733323023479e+01,4.073328445443867500e+14,2.057130354757541250e+14
2.554861527979210223e+01,2.337935768952136250e+14,1.377727505121095625e+14
4.691605957329760912e+01,3.380489670414601875e+14,1.291717910675096094e+14
2.993126327376846518e+01,6.800483155001467188e+13,3.532139850480468750e+13
2.522721049606755273e+01,2.866047081989466875e+14,1.706736193762995000e+14
1.630346306642213960e+02,1.106610094872382250e+15,2.637966680949782812e+14
5.942680739997246064e+01,3.203250232277486250e+14,1.074758126572247188e+14
3.343040853223521935e+01,9.066973253058087500e+13,4.335540702094922656e+13
6.066336482478156000e+01,3.128837966429218125e+14,1.039014827279139531e+14
2.629849419558069812e+01,3.185973211248222500e+14,1.833421417673500938e+14
3.015984407170173398e+01,9.948945125932426562e+13,5.137361021825068750e+13
1.097303512446202660e+02,6.976326856455322500e+14,1.834506865768830312e+14
3.224862964094702988e+01,1.502404387480623750e+14,7.376331743392989062e+13
5.759771408133079262e+01,3.136774317322245000e+14,1.069395011928684219e+14
4.258835997317715538e+01,1.393187656456185938e+14,5.649768417970017969e+13
2.576596863917587399e+01,9.950279257153384375e+13,5.822820739926071875e+13
2.617366446442298411e+01,1.850211912208244688e+14,1.068879255207162969e+14
4.209941309980938939e+01,1.706356103804277500e+14,6.970742331178984375e+13
2.811669481021250405e+01,1.068942555312442031e+14,5.829650003130111719e+13
4.084268919488238936e+01,2.048176790059274375e+14,8.532026666394764062e+13
3.171679539572040696e+01,1.512566530407379062e+14,7.518665307898992188e+13
5.214148327391831117e+01,1.604530550969072812e+14,5.769732001719776562e+13
2.735875990361771670e+01,1.767262434466792812e+14,9.850138276519590625e+13
4.806012325581600919e+01,2.632795891297353750e+14,9.917928003858703125e+13
6.825199439282974367e+01,2.714462358081185938e+14,8.522955588100009375e+13
